Experiment 1 ,08_03_2020_11-58-55,,,,,Experiment 2 ,08_03_2020_12-28-55,,,,,,,,,,,,,,
22,32605,41,0.911,0.279477323,,22,81100,102,0.913,0.262475553,,,,,,,,22,0.912,0.270976438,56852.5
23,56455,71,0.909,0.281797693,,23,90640,114,0.915,0.255488192,,,,,,,,23,0.912,0.268642942,73547.5
24,63610,80,0.915,0.255598559,,24,88255,111,0.915,0.244458827,,,,,,,,24,0.915,0.250028693,75932.5
25,55660,70,0.913,0.277464391,,25,107335,135,0.924,0.235695197,,,,,,,,25,0.9185,0.256579794,81497.5
26,41350,52,0.902,0.299492724,,26,112900,142,0.925,0.236176785,,,,,,,,26,0.9135,0.267834754,77125
27,71560,90,0.924,0.250678437,,27,158215,199,0.918,0.236740351,,,,,,,,27,0.921,0.243709394,114887.5
28,58840,74,0.922,0.260859157,,28,96205,121,0.925,0.235685224,,,,,,,,28,0.9235,0.24827219,77522.5
29,81895,103,0.921,0.250792921,,29,100180,126,0.922,0.232137257,,,,,,,,29,0.9215,0.241465089,91037.5
30,81895,103,0.925,0.24517347,,30,177295,223,0.932,0.206887841,,,,,,,,30,0.9285,0.226030655,129595
31,119260,150,0.929,0.22224802,,31,149470,188,0.926,0.233180055,,,,,,,,31,0.9275,0.227714038,134365
32,121645,153,0.925,0.236658548,,32,166960,210,0.932,0.213207173,,,,,,,,32,0.9285,0.22493286,144302.5
33,97000,122,0.921,0.239791367,,33,141520,178,0.932,0.213329096,,,,,,,,33,0.9265,0.226560231,119260
34,112900,142,0.915,0.249802564,,34,155035,195,0.921,0.226469135,,,,,,,,34,0.918,0.238135849,133967.5
35,144700,182,0.929,0.217479427,,35,157420,198,0.918,0.221529302,,,,,,,,35,0.9235,0.219504365,151060
36,136750,172,0.918,0.233333012,,36,175705,221,0.925,0.217557144,,,,,,,,36,0.9215,0.225445078,156227.5
37,151855,191,0.926,0.235585126,,37,175705,221,0.921,0.224742362,,,,,,,,37,0.9235,0.230163744,163780
38,124825,157,0.927,0.22420555,,38,205120,258,0.93,0.208242882,,,,,,,,38,0.9285,0.216224216,164972.5
39,80305,101,0.92,0.258864469,,39,259180,326,0.929,0.214366655,,,,,,,,39,0.9245,0.236615562,169742.5
40,126415,159,0.926,0.233097244,,40,295750,372,0.926,0.209489594,,,,,,,,40,0.926,0.221293419,211082.5
41,138340,174,0.921,0.239526104,,41,325165,409,0.936,0.196283848,,,,,,,,41,0.9285,0.217904976,231752.5
42,144700,182,0.924,0.229178954,,42,392740,494,0.937,0.199312493,,,,,,,,42,0.9305,0.214245723,268720
43,178885,225,0.921,0.240981569,,43,253615,319,0.933,0.209777742,,,,,,,,43,0.927,0.225379656,216250
44,160600,202,0.922,0.245616545,,44,263155,331,0.929,0.201603786,,,,,,,,44,0.9255,0.223610166,211877.5
45,194785,245,0.928,0.207715465,,45,209095,263,0.924,0.222811938,,,,,,,,45,0.926,0.215263702,201940
46,229765,289,0.937,0.204122522,,46,221815,279,0.921,0.216401616,,,,,,,,46,0.929,0.210262069,225790
47,263950,332,0.931,0.220684442,,47,195580,246,0.93,0.222677938,,,,,,,,47,0.9305,0.22168119,229765
48,236125,297,0.931,0.215476724,,48,236920,298,0.925,0.209014105,,,,,,,,48,0.928,0.212245414,236522.5
49,246460,310,0.931,0.214320655,,49,290185,365,0.931,0.220760425,,,,,,,,49,0.931,0.21754054,268322.5
50,246460,310,0.923,0.225963572,,50,211480,266,0.924,0.214909446,,,,,,,,50,0.9235,0.220436509,228970
51,240100,302,0.931,0.207037795,,51,226585,285,0.925,0.221186359,,,,,,,,51,0.928,0.214112077,233342.5
52,380020,478,0.932,0.209989663,,52,209890,264,0.932,0.211444485,,,,,,,,52,0.932,0.210717074,294955
53,345835,435,0.932,0.212980785,,53,221815,279,0.925,0.216513576,,,,,,,,53,0.9285,0.214747181,283825
54,356170,448,0.928,0.218505474,,54,273490,344,0.928,0.2159226,,,,,,,,54,0.928,0.217214037,314830
55,403075,507,0.933,0.198258397,,55,280645,353,0.931,0.195005308,,,,,,,,55,0.932,0.196631852,341860
56,348220,438,0.934,0.212331168,,56,358555,451,0.928,0.201060789,,,,,,,,56,0.931,0.206695978,353387.5
57,446005,561,0.94,0.191503223,,57,305290,384,0.929,0.213844824,,,,,,,,57,0.9345,0.202674024,375647.5
58,508015,639,0.931,0.212013684,,58,194785,245,0.934,0.221201013,,,,,,,,58,0.9325,0.216607349,351400
59,508015,639,0.935,0.203907153,,59,177295,223,0.933,0.21015343,,,,,,,,59,0.934,0.207030292,342655
60,430105,541,0.936,0.205458399,,60,161395,203,0.923,0.234969345,,,,,,,,60,0.9295,0.220213872,295750
61,472240,594,0.932,0.204308837,,61,151060,190,0.917,0.225807667,,,,,,,,61,0.9245,0.215058252,311650
62,432490,544,0.938,0.186334983,,62,232945,293,0.935,0.201161074,,,,,,,,62,0.9365,0.193748028,332717.5
63,451570,568,0.936,0.194940779,,63,196375,247,0.927,0.225606212,,,,,,,,63,0.9315,0.210273496,323972.5
64,409435,515,0.942,0.190511381,,64,245665,309,0.931,0.213181504,,,,,,,,64,0.9365,0.201846442,327550
65,324370,408,0.931,0.228586377,,65,271105,341,0.929,0.208557992,,,,,,,,65,0.93,0.218572185,297737.5
66,317215,399,0.931,0.206039583,,66,242485,305,0.93,0.21997662,,,,,,,,66,0.9305,0.213008102,279850
67,477805,601,0.927,0.220982971,,67,222610,280,0.933,0.20616614,,,,,,,,67,0.93,0.213574556,350207.5
68,591490,744,0.945,0.183804219,,68,231355,291,0.94,0.197782403,,,,,,,,68,0.9425,0.190793311,411422.5
69,446800,562,0.934,0.20219483,,69,320395,403,0.932,0.213174161,,,,,,,,69,0.933,0.207684496,383597.5
70,669400,842,0.933,0.204353244,,70,273490,344,0.936,0.201179242,,,,,,,,70,0.9345,0.202766243,471445
71,669400,842,0.93,0.212470485,,71,365710,460,0.934,0.207021143,,,,,,,,71,0.932,0.209745814,517555
72,492910,620,0.94,0.188034333,,72,359350,452,0.934,0.186941306,,,,,,,,72,0.937,0.18748782,426130
73,480985,605,0.929,0.213733357,,73,294160,370,0.93,0.199931215,,,,,,,,73,0.9295,0.206832286,387572.5
74,585925,737,0.935,0.191337614,,74,352990,444,0.934,0.197845146,,,,,,,,74,0.9345,0.19459138,469457.5
75,480985,605,0.934,0.201673419,,75,400690,504,0.933,0.204989641,,,,,,,,75,0.9335,0.20333153,440837.5
76,640780,806,0.927,0.2222795,,76,453160,570,0.934,0.206568203,,,,,,,,76,0.9305,0.214423851,546970
77,604210,760,0.93,0.212514016,,77,453160,570,0.94,0.188885198,,,,,,,,77,0.935,0.200699607,528685
78,763210,960,0.928,0.218111739,,78,496885,625,0.936,0.195605339,,,,,,,,78,0.932,0.206858539,630047.5
79,750490,944,0.935,0.192798176,,79,566845,713,0.935,0.198025834,,,,,,,,79,0.935,0.195412005,658667.5
80,930955,1171,0.937,0.18123367,,80,441235,555,0.937,0.181898876,,,,,,,,80,0.937,0.181566273,686095
81,1203640,1514,0.942,0.196845431,,81,505630,636,0.932,0.223950522,,,,,,,,81,0.937,0.210397977,854635
82,770365,969,0.937,0.196840949,,82,633625,797,0.937,0.19145393,,,,,,,,82,0.937,0.19414744,701995
83,798190,1004,0.94,0.182198618,,83,510400,642,0.925,0.216196705,,,,,,,,83,0.9325,0.199197661,654295
